Slot,Bus1,Bus2,Bus3,Bus4,Bus6,Bus7,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20,Bus21,Bus22,Bus23,Bus27,Bus28,Bus29,Bus31,Bus32,Bus70,Bus74,Bus75,Bus114,Bus115,Bus117,Bus33,Bus34,Bus35,Bus36,Bus39,Bus40,Bus41,Bus42,Bus43,Bus44,Bus45,Bus46,Bus47,Bus48,Bus49,Bus50,Bus51,Bus52,Bus53,Bus54,Bus55,Bus56,Bus57,Bus58,Bus59,Bus60,Bus62,Bus66,Bus67,Bus76,Bus77,Bus78,Bus79,Bus80,Bus97,Bus98,Bus118,Bus82,Bus83,Bus84,Bus85,Bus86,Bus88,Bus90,Bus92,Bus93,Bus94,Bus95,Bus96,Bus100,Bus101,Bus102,Bus103,Bus104,Bus105,Bus106,Bus107,Bus108,Bus109,Bus110,Bus112,LOAD
11,241.2073167,94.58501667,184.4474333,141.8997667,245.9299333,89.86241667,331.0697333,222.27255,160.79005,66.20503333,425.65475,118.2424,50.77131667,283.7549667,212.8274167,85.13988333,66.20503333,47.31475,33.10251667,293.2446833,80.41726667,113.5197833,203.3822833,279.03245,294.0466167,302.9571,209.3968167,37.82513333,104.03015,94.58501667,23.84345,61.1512,34.20295,32.13293333,26.36253333,19.3196,36.12636667,36.12636667,17.575,15.62225,51.7486,27.3389,33.19723333,19.52775,84.94583333,16.59861667,16.59861667,17.575,22.45695,110.332,61.51251667,82.01671667,11.71666667,11.71666667,270.45975,76.1583,75.18193333,38.0792,27.3389,66.39446667,59.55976667,69.3236,38.0792,126.9306167,14.64586667,33.19723333,32.22086667,167.3133833,61.96795,34.08235,74.3615,65.06636667,148.7230167,241.6749833,201.3958167,37.18075,92.95188333,130.1326333,117.7390833,114.6406667,68.16476667,15.49196667,71.2631,117.7390833,96.0503,133.23105,85.6011,6.196816667,24.7872,120.8374833,77.45991667,9215.087167
12,240.4509083,94.28840833,183.8690167,141.4547833,245.1587167,89.58060833,330.0315167,221.575525,160.285825,65.99741667,424.319925,117.8716,50.61210833,282.8651333,212.1600083,84.87289167,65.99741667,47.166375,32.99870833,292.3250917,80.16508333,113.1637917,202.7444917,278.157425,293.1245083,302.00705,208.7401583,37.70651667,103.703925,94.28840833,23.743675,60.8953,34.059825,31.99846667,26.25221667,19.23875,35.97518333,35.97518333,17.50145,15.556875,51.53205,27.2245,33.05831667,19.446025,84.59036667,16.52915833,16.52915833,17.50145,22.362975,109.8703,61.25510833,81.67350833,11.66763333,11.66763333,269.327975,75.8396,74.86731667,37.91985,27.2245,66.11663333,59.31053333,69.0335,37.91985,126.3994583,14.58458333,33.05831667,32.08603333,164.3943417,60.886825,33.487725,73.06415,63.93118333,146.1283083,237.4585917,197.8821583,36.532075,91.33019167,127.8622667,115.6849417,112.6405833,66.97553333,15.22168333,70.0198,115.6849417,94.37455,130.906625,84.10765,6.088708333,24.35475,118.7292917,76.10850833,9151.331983
13,239.6945,93.9918,183.2906,141.0098,244.3875,89.2988,328.9933,220.8785,159.7816,65.7898,422.9851,117.5008,50.4529,281.9753,211.4926,84.6059,65.7898,47.018,32.8949,291.4055,79.9129,112.8078,202.1067,277.2824,292.2024,301.057,208.0835,37.5879,103.3777,93.9918,23.6439,60.6394,33.9167,31.864,26.1419,19.1579,35.824,35.824,17.4279,15.4915,51.3155,27.1101,32.9194,19.3643,84.2349,16.4597,16.4597,17.4279,22.269,109.4086,60.9977,81.3303,11.6186,11.6186,268.1962,75.5209,74.5527,37.7605,27.1101,65.8388,59.0613,68.7434,37.7605,125.8683,14.5233,32.9194,31.9512,161.4753,59.8057,32.8931,71.7668,62.796,143.5336,233.2422,194.3685,35.8834,89.7085,125.5919,113.6308,110.6405,65.7863,14.9514,68.7765,113.6308,92.6988,128.5822,82.6142,5.9806,23.9223,116.6211,74.7571,9087.5768
14,238.4785,93.51496667,182.3607417,140.2944417,243.1476833,88.845775,327.324275,219.75795,158.9710083,65.45604167,420.8392417,116.9047,50.19694167,280.5448,210.4196667,84.17668333,65.45604167,46.779475,32.72801667,289.9271583,79.50749167,112.2355167,201.0813833,275.8757083,290.7200167,299.5297,207.0278667,37.39720833,102.85325,93.51496667,23.546525,60.38968333,33.777025,31.73278333,26.03424167,19.07900833,35.676475,35.676475,17.35613333,15.4277,51.104175,26.99845833,32.78383333,19.28455833,83.88800833,16.39191667,16.39191667,17.35613333,22.17729167,108.9580333,60.7465,80.99536667,11.57075,11.57075,267.0917167,75.20989167,74.24568333,37.60499167,26.99845833,65.56766667,58.818075,68.46030833,37.60499167,125.34995,14.46348333,32.78383333,31.81961667,160.953075,59.61228333,32.786725,71.5347,62.59290833,143.0694,232.4878667,193.7398833,35.76735,89.418375,125.185725,113.2633,110.282675,65.57353333,14.90305,68.554075,113.2633,92.399,128.16635,82.34701667,5.961258333,23.84493333,116.2439333,74.515325,9047.265667
15,237.2625,93.03813333,181.4308833,139.5790833,241.9078667,88.39275,325.65525,218.6374,158.1604167,65.12228333,418.6933833,116.3086,49.94098333,279.1143,209.3467333,83.74746667,65.12228333,46.54095,32.56113333,288.4488167,79.10208333,111.6632333,200.0560667,274.4690167,289.2376333,298.0024,205.9722333,37.20651667,102.3288,93.03813333,23.44915,60.13996667,33.63735,31.60156667,25.92658333,19.00011667,35.52895,35.52895,17.28436667,15.3639,50.89285,26.88681667,32.64826667,19.20481667,83.54111667,16.32413333,16.32413333,17.28436667,22.08558333,108.5074667,60.4953,80.66043333,11.5229,11.5229,265.9872333,74.89888333,73.93866667,37.44948333,26.88681667,65.29653333,58.57485,68.17721667,37.44948333,124.8316,14.40366667,32.64826667,31.68803333,160.43085,59.41886667,32.68035,71.3026,62.38981667,142.6052,231.7335333,193.1112667,35.6513,89.12825,124.77955,112.8958,109.92485,65.36076667,14.8547,68.33165,112.8958,92.0992,127.7505,82.07983333,5.941916667,23.76756667,115.8667667,74.27355,9006.954533
16,236.0465,92.5613,180.501025,138.863725,240.66805,87.939725,323.986225,217.51685,157.349825,64.788525,416.547525,115.7125,49.685025,277.6838,208.2738,83.31825,64.788525,46.302425,32.39425,286.970475,78.696675,111.09095,199.03075,273.062325,287.75525,296.4751,204.9166,37.015825,101.80435,92.5613,23.351775,59.89025,33.497675,31.47035,25.818925,18.921225,35.381425,35.381425,17.2126,15.3001,50.681525,26.775175,32.5127,19.125075,83.194225,16.25635,16.25635,17.2126,21.993875,108.0569,60.2441,80.3255,11.47505,11.47505,264.88275,74.587875,73.63165,37.293975,26.775175,65.0254,58.331625,67.894125,37.293975,124.31325,14.34385,32.5127,31.55645,159.908625,59.22545,32.573975,71.0705,62.186725,142.141,230.9792,192.48265,35.53525,88.838125,124.373375,112.5283,109.567025,65.148,14.80635,68.109225,112.5283,91.7994,127.33465,81.81265,5.922575,23.6902,115.4896,74.031775,8966.6434
17,234.8305,92.08446667,179.5711667,138.1483667,239.4282333,87.4867,322.3172,216.3963,156.5392333,64.45476667,414.4016667,115.1164,49.42906667,276.2533,207.2008667,82.88903333,64.45476667,46.0639,32.22736667,285.4921333,78.29126667,110.5186667,198.0054333,271.6556333,286.2728667,294.9478,203.8609667,36.82513333,101.2799,92.08446667,23.2544,59.64053333,33.358,31.33913333,25.71126667,18.84233333,35.2339,35.2339,17.14083333,15.2363,50.4702,26.66353333,32.37713333,19.04533333,82.84733333,16.18856667,16.18856667,17.14083333,21.90216667,107.6063333,59.9929,79.99056667,11.4272,11.4272,263.7782667,74.27686667,73.32463333,37.13846667,26.66353333,64.75426667,58.0884,67.61103333,37.13846667,123.7949,14.28403333,32.37713333,31.42486667,159.3864,59.03203333,32.4676,70.8384,61.98363333,141.6768,230.2248667,191.8540333,35.4192,88.548,123.9672,112.1608,109.2092,64.93523333,14.758,67.8868,112.1608,91.4996,126.9188,81.54546667,5.903233333,23.61283333,115.1124333,73.79,8926.332267
18,233.6145,91.60763333,178.6413083,137.4330083,238.1884167,87.033675,320.648175,215.27575,155.7286417,64.12100833,412.2558083,114.5203,49.17310833,274.8228,206.1279333,82.45981667,64.12100833,45.825375,32.06048333,284.0137917,77.88585833,109.9463833,196.9801167,270.2489417,284.7904833,293.4205,202.8053333,36.63444167,100.75545,91.60763333,23.157025,59.39081667,33.218325,31.20791667,25.60360833,18.76344167,35.086375,35.086375,17.06906667,15.1725,50.258875,26.55189167,32.24156667,18.96559167,82.50044167,16.12078333,16.12078333,17.06906667,21.81045833,107.1557667,59.7417,79.65563333,11.37935,11.37935,262.6737833,73.96585833,73.01761667,36.98295833,26.55189167,64.48313333,57.845175,67.32794167,36.98295833,123.27655,14.22421667,32.24156667,31.29328333,158.864175,58.83861667,32.361225,70.6063,61.78054167,141.2126,229.4705333,191.2254167,35.30315,88.257875,123.561025,111.7933,108.851375,64.72246667,14.70965,67.664375,111.7933,91.1998,126.50295,81.27828333,5.883891667,23.53546667,114.7352667,73.548225,8886.021133
19,232.3985,91.1308,177.71145,136.71765,236.9486,86.58065,318.97915,214.1552,154.91805,63.78725,410.10995,113.9242,48.91715,273.3923,205.055,82.0306,63.78725,45.58685,31.8936,282.53545,77.48045,109.3741,195.9548,268.84225,283.3081,291.8932,201.7497,36.44375,100.231,91.1308,23.05965,59.1411,33.07865,31.0767,25.49595,18.68455,34.93885,34.93885,16.9973,15.1087,50.04755,26.44025,32.106,18.88585,82.15355,16.053,16.053,16.9973,21.71875,106.7052,59.4905,79.3207,11.3315,11.3315,261.5693,73.65485,72.7106,36.82745,26.44025,64.212,57.60195,67.04485,36.82745,122.7582,14.1644,32.106,31.1617,158.34195,58.6452,32.25485,70.3742,61.57745,140.7484,228.7162,190.5968,35.1871,87.96775,123.15485,111.4258,108.49355,64.5097,14.6613,67.44195,111.4258,90.9,126.0871,81.0111,5.86455,23.4581,114.3581,73.30645,8845.71
20,231.1825,90.65396667,176.7815917,136.0022917,235.7087833,86.127625,317.310125,213.03465,154.1074583,63.45349167,407.9640917,113.3281,48.66119167,271.9618,203.9820667,81.60138333,63.45349167,45.348325,31.72671667,281.0571083,77.07504167,108.8018167,194.9294833,267.4355583,281.8257167,290.3659,200.6940667,36.25305833,99.70655,90.65396667,22.962275,58.89138333,32.938975,30.94548333,25.38829167,18.60565833,34.791325,34.791325,16.92553333,15.0449,49.836225,26.32860833,31.97043333,18.80610833,81.80665833,15.98521667,15.98521667,16.92553333,21.62704167,106.2546333,59.2393,78.98576667,11.28365,11.28365,260.4648167,73.34384167,72.40358333,36.67194167,26.32860833,63.94086667,57.358725,66.76175833,36.67194167,122.23985,14.10458333,31.97043333,31.03011667,157.819725,58.45178333,32.148475,70.1421,61.37435833,140.2842,227.9618667,189.9681833,35.07105,87.677625,122.748675,111.0583,108.135725,64.29693333,14.61295,67.219525,111.0583,90.6002,125.67125,80.74391667,5.845208333,23.38073333,113.9809333,73.064675,8805.398867
21,229.9665,90.17713333,175.8517333,135.2869333,234.4689667,85.6746,315.6411,211.9141,153.2968667,63.11973333,405.8182333,112.732,48.40523333,270.5313,202.9091333,81.17216667,63.11973333,45.1098,31.55983333,279.5787667,76.66963333,108.2295333,193.9041667,266.0288667,280.3433333,288.8386,199.6384333,36.06236667,99.1821,90.17713333,22.8649,58.64166667,32.7993,30.81426667,25.28063333,18.52676667,34.6438,34.6438,16.85376667,14.9811,49.6249,26.21696667,31.83486667,18.72636667,81.45976667,15.91743333,15.91743333,16.85376667,21.53533333,105.8040667,58.9881,78.65083333,11.2358,11.2358,259.3603333,73.03283333,72.09656667,36.51643333,26.21696667,63.66973333,57.1155,66.47866667,36.51643333,121.7215,14.04476667,31.83486667,30.89853333,157.2975,58.25836667,32.0421,69.91,61.17126667,139.82,227.2075333,189.3395667,34.955,87.3875,122.3425,110.6908,107.7779,64.08416667,14.5646,66.9971,110.6908,90.3004,125.2554,80.47673333,5.825866667,23.30336667,113.6037667,72.8229,8765.087733
22,228.7505,89.7003,174.921875,134.571575,233.22915,85.221575,313.972075,210.79355,152.486275,62.785975,403.672375,112.1359,48.149275,269.1008,201.8362,80.74295,62.785975,44.871275,31.39295,278.100425,76.264225,107.65725,192.87885,264.622175,278.86095,287.3113,198.5828,35.871675,98.65765,89.7003,22.767525,58.39195,32.659625,30.68305,25.172975,18.447875,34.496275,34.496275,16.782,14.9173,49.413575,26.105325,31.6993,18.646625,81.112875,15.84965,15.84965,16.782,21.443625,105.3535,58.7369,78.3159,11.18795,11.18795,258.25585,72.721825,71.78955,36.360925,26.105325,63.3986,56.872275,66.195575,36.360925,121.20315,13.98495,31.6993,30.76695,156.775275,58.06495,31.935725,69.6779,60.968175,139.3558,226.4532,188.71095,34.83895,87.097375,121.936325,110.3233,107.420075,63.8714,14.51625,66.774675,110.3233,90.0006,124.83955,80.20955,5.806525,23.226,113.2266,72.581125,8724.7766
23,227.5345,89.22346667,173.9920167,133.8562167,231.9893333,84.76855,312.30305,209.673,151.6756833,62.45221667,401.5265167,111.5398,47.89331667,267.6703,200.7632667,80.31373333,62.45221667,44.63275,31.22606667,276.6220833,75.85881667,107.0849667,191.8535333,263.2154833,277.3785667,285.784,197.5271667,35.68098333,98.1332,89.22346667,22.67015,58.14223333,32.51995,30.55183333,25.06531667,18.36898333,34.34875,34.34875,16.71023333,14.8535,49.20225,25.99368333,31.56373333,18.56688333,80.76598333,15.78186667,15.78186667,16.71023333,21.35191667,104.9029333,58.4857,77.98096667,11.1401,11.1401,257.1513667,72.41081667,71.48253333,36.20541667,25.99368333,63.12746667,56.62905,65.91248333,36.20541667,120.6848,13.92513333,31.56373333,30.63536667,156.25305,57.87153333,31.82935,69.4458,60.76508333,138.8916,225.6988667,188.0823333,34.7229,86.80725,121.53015,109.9558,107.06225,63.65863333,14.4679,66.55225,109.9558,89.7008,124.4237,79.94236667,5.787183333,23.14863333,112.8494333,72.33935,8684.465467
24,226.3185,88.74663333,173.0621583,133.1408583,230.7495167,84.315525,310.634025,208.55245,150.8650917,62.11845833,399.3806583,110.9437,47.63735833,266.2398,199.6903333,79.88451667,62.11845833,44.394225,31.05918333,275.1437417,75.45340833,106.5126833,190.8282167,261.8087917,275.8961833,284.2567,196.4715333,35.49029167,97.60875,88.74663333,22.572775,57.89251667,32.380275,30.42061667,24.95765833,18.29009167,34.201225,34.201225,16.63846667,14.7897,48.990925,25.88204167,31.42816667,18.48714167,80.41909167,15.71408333,15.71408333,16.63846667,21.26020833,104.4523667,58.2345,77.64603333,11.09225,11.09225,256.0468833,72.09980833,71.17551667,36.04990833,25.88204167,62.85633333,56.385825,65.62939167,36.04990833,120.16645,13.86531667,31.42816667,30.50378333,155.730825,57.67811667,31.722975,69.2137,60.56199167,138.4274,224.9445333,187.4537167,34.60685,86.517125,121.123975,109.5883,106.704425,63.44586667,14.41955,66.329825,109.5883,89.401,124.00785,79.67518333,5.767841667,23.07126667,112.4722667,72.097575,8644.154333
25,225.1025,88.2698,172.1323,132.4255,229.5097,83.8625,308.965,207.4319,150.0545,61.7847,397.2348,110.3476,47.3814,264.8093,198.6174,79.4553,61.7847,44.1557,30.8923,273.6654,75.048,105.9404,189.8029,260.4021,274.4138,282.7294,195.4159,35.2996,97.0843,88.2698,22.4754,57.6428,32.2406,30.2894,24.85,18.2112,34.0537,34.0537,16.5667,14.7259,48.7796,25.7704,31.2926,18.4074,80.0722,15.6463,15.6463,16.5667,21.1685,104.0018,57.9833,77.3111,11.0444,11.0444,254.9424,71.7888,70.8685,35.8944,25.7704,62.5852,56.1426,65.3463,35.8944,119.6481,13.8055,31.2926,30.3722,155.2086,57.4847,31.6166,68.9816,60.3589,137.9632,224.1902,186.8251,34.4908,86.227,120.7178,109.2208,106.3466,63.2331,14.3712,66.1074,109.2208,89.1012,123.592,79.408,5.7485,22.9939,112.0951,71.8558,8603.8432
26,224.711225,88.11636667,171.8331,132.1953167,229.1107667,83.71673333,308.42795,207.0713417,149.7936667,61.6773,396.5443167,110.1557917,47.29904167,264.3490083,198.2721583,79.31718333,61.6773,44.07895,30.83860833,273.1897083,74.91755,105.75625,189.4729833,259.9494667,273.9368083,282.2379583,195.076225,35.23824167,96.91554167,88.11636667,22.397975,57.444225,32.12953333,30.18505,24.76439167,18.14846667,33.93638333,33.93638333,16.509625,14.675175,48.61155833,25.68161667,31.1848,18.34398333,79.79635,15.5924,15.5924,16.509625,21.095575,103.6435167,57.78355,77.04476667,11.00635833,11.00635833,254.0641417,71.54149167,70.62435833,35.77075,25.68161667,62.36959167,55.94919167,65.12118333,35.77075,119.2359167,13.75794167,31.1848,30.26756667,154.60665,57.26175,31.493975,68.71406667,60.12480833,137.4281333,223.3207167,186.1005333,34.35703333,85.89258333,120.2496167,108.7972083,105.9341583,62.98786667,14.31545833,65.85100833,108.7972083,88.75564167,123.112675,79.10003333,5.7262,22.90471667,111.6603583,71.577125,8581.422117
