BUS_ID,Unnamed: 0,TYPE,PD,QD,GS,BS,AREA,VM,VA,BASEKV,ZONE,VMAX,VMIN,LAM_P,LAMQ,MU_VMAX,MU_VMIN,BUS_NAME,BUS_LOCATION,VOLL
bus1036,35,1,13.6,3.85,0,0,1,0.99762,-12.527,115,9,1.1,0.9,107.44,-21.86,0,0,CRANE 0,CRANE ,10744
bus1037,36,1,102.24,28.97,0,0,1,0.9745,-22.545,115,9,1.1,0.9,27.08,-3,0,0,ODESSA 5 0,ODESSA  ,2708
bus1038,37,1,0,0,0,0,1,1.0166,-7.6466,115,9,1.1,0.9,110.79,-14.86,0,0,FORT STOCKTON 1 0,FORT STOCKTON  ,11079
bus1039,38,2,0,0,0,0,1,1,-2.2631,22,9,1.1,0.9,112.08,0,0,0,FORT STOCKTON 1 1,FORT STOCKTON  ,11208
bus1040,39,1,44.36,12.57,0,0,1,0.99401,-20.48,115,9,1.1,0.9,29.68,-1.71,0,0,ANDREWS 0,ANDREWS ,2968
bus1041,40,1,0,0,0,0,1,1.0018,-15.108,115,9,1.1,0.9,-1038.8,23.76,0,0,FORSAN 0,FORSAN ,100
bus1042,41,2,0,0,0,0,1,1.0018,-15.108,13.8,9,1.1,0.9,-1038.8,23.76,0,0,FORSAN 1,FORSAN ,100
bus1043,42,2,0,0,0,0,1,1,-11.864,13.8,9,1.1,0.9,-1037.9,0,0,0,FORSAN 2,FORSAN ,100
bus1044,43,1,14.68,4.16,0,0,1,1.0068,-25.964,115,9,1.1,0.9,-141.55,-40.27,0,0,BIG LAKE 0,BIG LAKE ,100
bus1045,44,1,98.56,27.93,0,0,1,0.97743,-24.448,115,9,1.1,0.9,18.05,-3.5,0,0,MIDLAND 5 0,MIDLAND  ,1805
bus1046,45,1,11.08,3.14,0,12,1,1.0176,-22.491,115,9,1.1,0.9,-423.42,31.55,0,0,OZONA 0,OZONA ,100
bus1047,46,1,0,0,0,0,1,1.0053,-13.35,115,9,1.1,0.9,47.24,-1.28,0,0,MONAHANS 1 0,MONAHANS  ,4724
bus1048,47,2,0,0,0,0,1,1.0053,-13.35,18,9,1.1,0.9,47.24,-1.28,0,0,MONAHANS 1 1,MONAHANS  ,4724
bus1049,48,2,0,0,0,0,1,1.0053,-13.35,18,9,1.1,0.9,47.24,-1.28,0,0,MONAHANS 1 2,MONAHANS  ,4724
bus1050,49,2,0,0,0,0,1,1,-8.2848,18,9,1.1,0.9,47.17,0,0,0,MONAHANS 1 3,MONAHANS  ,4717
bus1051,50,2,0,0,0,0,1,1,-6.8074,18,9,1.1,0.9,47.05,0,0,0,MONAHANS 1 4,MONAHANS  ,4705
bus1052,51,2,0,0,0,0,1,1,-9.1344,18,9,1.1,0.9,47.13,0,0,0,MONAHANS 1 5,MONAHANS  ,4713
bus1053,52,2,0,0,0,0,1,1.0174,-17.336,230,9,1.1,0.9,46.38,-0.32,0,0,MONAHANS 1 6,MONAHANS  ,4638
bus1054,53,1,14.99,4.25,0,0,1,1.0037,-22.292,115,9,1.1,0.9,-18.58,0.24,0,0,STANTON 0,STANTON ,100
bus1055,54,1,3.98,1.13,0,0,1,1.0014,-18.13,115,9,1.1,0.9,-8.07,-0.03,0,0,ODONNELL 0,ODONNELL ,100
bus1056,55,1,0,0,0,59.97,1,1.02,-21.82,115,9,1.1,0.9,-20.84,0,0,0,LENORAH 0,LENORAH ,100
bus1057,56,2,0,0,0,0,1,1.02,-21.82,18,9,1.1,0.9,-20.84,0,0,0,LENORAH 1,LENORAH ,100
bus1058,57,1,13.46,3.81,0,0,1,1.0194,-11.221,115,9,1.1,0.9,-585.8,13.3,0,0,IRAAN 3 0,IRAAN  ,100
bus1059,58,2,0,0,0,0,1,1.0194,-11.221,22,9,1.1,0.9,-585.8,13.3,0,0,IRAAN 3 1,IRAAN  ,100
bus1060,59,2,0,0,0,0,1,1.0194,-11.221,22,9,1.1,0.9,-585.8,13.3,0,0,IRAAN 3 2,IRAAN  ,100
bus1061,60,1,0,0,0,0,1,1.0066,-17.219,115,9,1.1,0.9,-60.92,-23.13,0,0,BIG SPRING 6 0,BIG SPRING  ,100
bus1062,61,2,0,0,0,0,1,1.0066,-17.219,13.8,9,1.1,0.9,-60.92,-23.13,0,0,BIG SPRING 6 1,BIG SPRING  ,100
bus1063,62,2,0,0,0,0,1,1.0066,-17.219,13.8,9,1.1,0.9,-60.92,-23.13,0,0,BIG SPRING 6 2,BIG SPRING  ,100
bus1064,63,1,123.76,35.07,0,0,1,0.97203,-24.153,115,9,1.1,0.9,23.25,-3.54,0,0,ODESSA 3 0,ODESSA  ,2325
bus1065,64,1,0,0,0,0,1,1.0043,-14.933,115,9,1.1,0.9,-2026.5,113.31,0,0,BIG SPRING 3 0,BIG SPRING  ,100
bus1066,65,2,0,0,0,0,1,1,-7.3991,13.8,9,1.1,0.9,-2024,0,0,0,BIG SPRING 3 1,BIG SPRING  ,100
bus1067,66,1,101.55,28.77,0,0,1,0.9986,-15.682,115,9,1.1,0.9,-45.37,-60.77,0,0,BIG SPRING 7 0,BIG SPRING  ,100
bus1068,67,1,59.4,16.83,0,0,1,0.9868,-16.437,115,9,1.1,0.9,37.47,-15.81,0,0,MIDLAND 1 0,MIDLAND  ,3747
bus1069,68,1,0,0,0,0,1,1.0226,-8.7326,115,9,1.1,0.9,-619.52,14.71,0,0,IRAAN 1 0,IRAAN  ,100
bus1070,69,2,0,0,0,0,1,1.04,-4.2288,13.8,9,1.1,0.9,-617.12,0,0,0,IRAAN 1 1,IRAAN  ,100
bus1071,70,1,91.46,25.91,0,0,1,0.98703,-21.474,115,9,1.1,0.9,27.69,-3.35,0,0,ODESSA 1 0,ODESSA  ,2769
bus1072,71,2,0,0,0,0,1,1.01,-12.11,18,9,1.1,0.9,28.03,0,0,0,ODESSA 1 1,ODESSA  ,2803
bus1073,72,2,0,0,0,0,1,1.01,-5.682,18,9,1.1,0.9,28.34,0,0,0,ODESSA 1 2,ODESSA  ,2834
bus1074,73,2,0,0,0,0,1,1.01,-7.738,18,9,1.1,0.9,28.2,0,0,0,ODESSA 1 3,ODESSA  ,2820
bus1075,74,2,0,0,0,0,1,1.01,-10.506,18,9,1.1,0.9,28.16,0,0,0,ODESSA 1 4,ODESSA  ,2816
bus1076,75,2,0,0,0,0,1,0.98703,-21.474,18,9,1.1,0.9,27.69,-3.35,0,0,ODESSA 1 5,ODESSA  ,2769
bus1077,76,2,0,0,0,0,1,0.98703,-21.474,18,9,1.1,0.9,27.69,-3.35,0,0,ODESSA 1 6,ODESSA  ,2769
bus1078,77,2,0,0,0,0,1,1.01,-11.025,18,9,1.1,0.9,28.19,0,0,0,ODESSA 1 7,ODESSA  ,2819
bus1079,78,2,0,0,0,0,1,1.0162,-38.583,500,9,1.1,0.9,38.02,-10.23,0,0,ODESSA 1 8,ODESSA  ,3802
bus1080,79,2,0,0,0,0,1,1.01,-10.449,18,9,1.1,0.9,28.06,0,0,0,ODESSA 1 9,ODESSA  ,2806
bus1081,80,2,0,0,0,56.9,1,1.02,-18.691,230,9,1.1,0.9,46.26,0,0,0,ODESSA 1 10,ODESSA  ,4626
bus1082,81,2,0,0,0,0,1,1.0194,-5.9104,115,9,1.1,0.9,-589.26,7.34,0,0,FORT STOCKTON 2 0,FORT STOCKTON  ,100
bus1083,82,1,39.95,11.32,0,26.15,1,1.0189,-9.8867,115,9,1.1,0.9,102.17,-13.71,0,0,FORT STOCKTON 3 0,FORT STOCKTON  ,10217
bus1084,83,2,0,0,0,0,1,1.0225,-16.467,115,9,1.1,0.9,-42.65,-7.5,0,0,BIG SPRING 2 0,BIG SPRING  ,100
bus1085,84,1,21.3,6.03,0,0,1,1.009,-15.343,115,9,1.1,0.9,44.1,-0.93,0,0,KERMIT 0,KERMIT ,4410
bus1086,85,1,39.67,11.24,0,30,1,1.0154,-17.585,115,9,1.1,0.9,47,-1.18,0,0,PECOS 0,PECOS ,4700
bus1087,86,1,0.91,0.26,0,8.66,1,1.02,-16.125,115,9,1.1,0.9,-514.2,0,0,0,SHEFFIELD 0,SHEFFIELD ,100
bus1088,87,2,0,0,0,0,1,1,-11.878,115,9,1.1,0.9,82.05,0,0,0,MCCAMEY 2 0,MCCAMEY  ,8205
bus1089,88,1,40.6,11.5,0,0,1,0.98063,-21.307,115,9,1.1,0.9,-12.44,-0.27,0,0,LAMESA 0,LAMESA ,100
bus1090,89,2,0,0,0,0,1,1.02,-16.145,115,9,1.1,0.9,34.44,0,0,0,GOLDSMITH 0,GOLDSMITH ,3444
bus1091,90,1,11.62,3.29,0,0,1,1.0248,-31.018,161,9,1.1,0.9,-23.26,-0.76,0,0,RALLS 2 0,RALLS  ,100
bus2001,91,1,48.36,13.7,0,0,2,1.0018,-59.982,161,11,1.1,0.9,141.96,14.24,0,0,PARIS 3 0,PARIS  ,14196
bus2002,92,1,0,0,0,0,2,1.0111,-61.567,500,11,1.1,0.9,148.2,16.97,0,0,SAVOY 0,SAVOY ,14820
bus2003,93,1,0,0,0,0,2,1.0093,-63.829,161,11,1.1,0.9,155.92,19.83,0,0,SAVOY 1,SAVOY ,15592
bus2004,94,2,0,0,0,0,2,1.0111,-61.567,13.8,11,1.1,0.9,148.2,16.97,0,0,SAVOY 2,SAVOY ,14820
bus2005,95,2,0,0,0,0,2,1.0111,-61.567,13.8,11,1.1,0.9,148.2,16.97,0,0,SAVOY 3,SAVOY ,14820
bus2006,96,2,0,0,0,0,2,1.0111,-61.567,13.8,11,1.1,0.9,148.2,16.97,0,0,SAVOY 4,SAVOY ,14820
bus2007,97,1,9.54,2.7,0,0,2,1.0025,-59.752,161,11,1.1,0.9,144.56,16.59,0,0,HONEY GROVE 0,HONEY GROVE ,14456
bus2008,98,1,8.06,2.28,0,0,2,1.0161,-32.833,161,10,1.1,0.9,6.86,-1.09,0,0,MEMPHIS 0,MEMPHIS ,686
bus2009,99,1,39.14,11.09,0,113.65,2,1.02,-45.215,161,11,1.1,0.9,19.71,0,0,0,IOWA PARK 0,IOWA PARK ,1971
bus2010,100,1,56.81,16.09,0,22.39,2,1.02,-36.405,161,10,1.1,0.9,-47.2,0,0,0,VERNON 2 0,VERNON  ,100
bus2011,101,1,0,0,0,0,2,1.0389,-32.101,500,10,1.1,0.9,24.36,-0.35,0,0,PANHANDLE 2 0,PANHANDLE  ,2436
bus2012,102,1,0,0,0,0,2,1.0271,-29.869,161,10,1.1,0.9,21.8,-0.72,0,0,PANHANDLE 2 1,PANHANDLE  ,2180
bus2013,103,2,0,0,0,0,2,1.0305,-29.761,18,10,1.1,0.9,24.37,-0.36,0,0,PANHANDLE 2 2,PANHANDLE  ,2437
bus2014,104,1,25.43,7.2,0,0,2,1.0145,-33.409,161,10,1.1,0.9,-1.87,-0.83,0,0,CHILDRESS 0,CHILDRESS ,100
bus2015,105,1,4.69,1.33,0,0,2,1.0061,-63.293,161,11,1.1,0.9,247.05,17.44,0,0,FORESTBURG 0,FORESTBURG ,24705
bus2016,106,1,69.27,19.63,0,0,2,1.006,-69.955,161,11,1.1,0.9,2322.9,545.82,0,0,SHERMAN 3 0,SHERMAN  ,232290
bus2017,107,1,0,0,0,-200,2,1.0284,-32.247,500,10,1.1,0.9,21.48,0.19,0,0,PANHANDLE 4 0,PANHANDLE  ,2148
bus2018,108,1,0,0,0,0,2,1.0265,-31.457,161,10,1.1,0.9,21.67,-0.1,0,0,PANHANDLE 4 1,PANHANDLE  ,2167
bus2019,109,2,0,0,0,0,2,1.0284,-32.247,20,10,1.1,0.9,21.48,0.19,0,0,PANHANDLE 4 2,PANHANDLE  ,2148
bus2020,110,1,47.97,13.59,0,0,2,0.99517,-44.885,161,11,1.1,0.9,25.69,4.26,0,0,WICHITA FALLS 6 0,WICHITA FALLS  ,2569
bus2021,111,1,0,0,0,0,2,1.0139,-56.702,500,11,1.1,0.9,135.35,9.95,0,0,PARIS 2 0,PARIS  ,13535
bus2022,112,1,11.56,3.28,0,0,2,1.01,-58.638,161,11,1.1,0.9,138.84,13.08,0,0,PARIS 2 1,PARIS  ,13884
bus2023,113,2,0,0,0,0,2,1.02,-55.14,13.8,11,1.1,0.9,134.81,0,0,0,PARIS 2 2,PARIS  ,13481
bus2024,114,2,0,0,0,0,2,1.02,-54.474,13.8,11,1.1,0.9,134.66,0,0,0,PARIS 2 3,PARIS  ,13466
bus2025,115,1,39.62,11.23,0,0,2,0.99407,-44.124,161,11,1.1,0.9,17.84,1.53,0,0,WICHITA FALLS 4 0,WICHITA FALLS  ,1784
bus2026,116,1,18.57,5.26,0,0,2,1.0265,-31.081,161,10,1.1,0.9,23.86,-0.47,0,0,WHEELER 0,WHEELER ,2386
bus2027,117,1,3.55,1.01,0,0,2,1.0022,-60.413,161,11,1.1,0.9,143.72,14.98,0,0,DEPORT 0,DEPORT ,14372
bus2028,118,1,14.24,4.03,0,0,2,0.99459,-47.25,161,11,1.1,0.9,44.13,10.69,0,0,WICHITA FALLS 3 0,WICHITA FALLS  ,4413
bus2029,119,1,3.2,0.91,0,0,2,1.0201,-32.781,161,10,1.1,0.9,-8.69,-0.56,0,0,SILVERTON 0,SILVERTON ,100
bus2030,120,1,47.15,13.36,0,0,2,0.98837,-64.04,161,11,1.1,0.9,163.8,24.62,0,0,BONHAM 0,BONHAM ,16380
bus2031,121,1,5.77,1.63,0,0,2,1.0205,-29.639,161,10,1.1,0.9,-81.89,7.24,0,0,MATADOR 0,MATADOR ,100
bus2032,122,1,3.35,0.95,0,0,2,1.0045,-59.147,161,11,1.1,0.9,142.62,15.33,0,0,ARTHUR CITY 0,ARTHUR CITY ,14262
bus2033,123,1,13.57,3.85,0,0,2,0.99087,-65.552,161,11,1.1,0.9,172.61,26.28,0,0,LEONARD 0,LEONARD ,17261
bus2034,124,1,5.34,1.51,0,0,2,1.0046,-69.283,161,11,1.1,0.9,2456.8,590.25,0,0,GORDONVILLE 0,GORDONVILLE ,245680
bus2035,125,1,4.68,1.33,0,0,2,1.0152,-30.561,161,10,1.1,0.9,-98.51,10.26,0,0,KNOX CITY 0,KNOX CITY ,100
bus2036,126,1,41.59,11.78,0,0,2,0.99894,-44.483,161,11,1.1,0.9,20.61,1.77,0,0,WICHITA FALLS 7 0,WICHITA FALLS  ,2061
bus2037,127,1,3.5,0.99,0,0,2,1.0167,-63.626,161,11,1.1,0.9,275.41,12.43,0,0,LINDSAY 0,LINDSAY ,27541
bus2038,128,1,2.6,0.74,0,0,2,1.0063,-64.301,161,11,1.1,0.9,159.84,21.48,0,0,ECTOR 0,ECTOR ,15984
bus2039,129,1,5.56,1.58,0,0,2,0.99125,-60.671,161,11,1.1,0.9,168.95,23.3,0,0,SUNSET 0,SUNSET ,16895
bus2040,130,1,15.9,4.51,0,0,2,1.0074,-59.308,161,11,1.1,0.9,140.74,13.75,0,0,CLARKSVILLE 0,CLARKSVILLE ,14074
bus2041,131,1,0,0,0,0,2,1.028,-27.686,161,10,1.1,0.9,21.89,-0.54,0,0,PANHANDLE 3 0,PANHANDLE  ,2189
bus2042,132,2,0,0,0,0,2,1.0194,-25.111,18,10,1.1,0.9,21.9,-2.89,0,0,PANHANDLE 3 1,PANHANDLE  ,2190
bus2043,133,1,4.24,1.2,0,0,2,1.005,-69.59,161,11,1.1,0.9,2400.3,573.93,0,0,SADLER 0,SADLER ,240030
bus2044,134,1,27.4,7.76,0,0,2,1.0131,-65.383,161,11,1.1,0.9,261.03,18.83,0,0,WHITESBORO 0,WHITESBORO ,26103
bus2045,135,1,22.61,6.4,0,0,2,0.99445,-45.424,161,11,1.1,0.9,29.44,5.7,0,0,SHEPPARD AFB 0,SHEPPARD AFB ,2944
bus2046,136,1,22.13,6.27,0,0,2,1.0046,-68.897,161,11,1.1,0.9,2515.9,603.88,0,0,POTTSBORO 0,POTTSBORO ,251590
bus2047,137,1,14.96,4.24,0,0,2,1.0079,-64.73,161,11,1.1,0.9,1395.6,363.42,0,0,BELLS 0,BELLS ,139560
bus2048,138,1,6.42,1.82,0,0,2,1.0237,-31.711,161,10,1.1,0.9,-50.44,2.94,0,0,CROSBYTON 0,CROSBYTON ,100
bus2049,139,1,11.57,3.28,0,0,2,1.0178,-40.946,161,10,1.1,0.9,-0.79,2.06,0,0,ELECTRA 0,ELECTRA ,100
bus2050,140,1,3.66,1.04,0,0,2,0.99419,-63.235,161,11,1.1,0.9,156.16,20.53,0,0,PATTONVILLE 0,PATTONVILLE ,15616
bus2051,141,1,17.85,5.06,0,0,2,0.98955,-54.14,161,11,1.1,0.9,119.27,25.26,0,0,HENRIETTA 0,HENRIETTA ,11927
bus2052,142,1,24.84,7.04,0,0,2,1.0174,-31.963,161,10,1.1,0.9,14.13,-1.11,0,0,PANHANDLE 6 0,PANHANDLE  ,1413
bus2053,143,1,29.13,8.25,0,0,2,0.99106,-59.36,161,11,1.1,0.9,109.28,18.74,0,0,BOWIE 0,BOWIE ,10928
bus2054,144,1,0,0,0,0,2,0.99778,-43.131,500,11,1.1,0.9,19.47,0.99,0,0,WICHITA FALLS 1 0,WICHITA FALLS  ,1947
bus2055,145,1,49.62,14.06,0,0,2,0.99733,-43.961,161,11,1.1,0.9,20.75,1.98,0,0,WICHITA FALLS 1 1,WICHITA FALLS  ,2075
bus2056,146,2,0,0,0,0,2,0.99778,-43.131,18,11,1.1,0.9,19.47,0.99,0,0,WICHITA FALLS 1 2,WICHITA FALLS  ,1947
bus2057,147,2,0,0,0,0,2,0.99,-38.725,18,11,1.1,0.9,19.33,0,0,0,WICHITA FALLS 1 3,WICHITA FALLS  ,1933
bus2058,148,1,0,0,0,0,2,1.0284,-27.258,161,10,1.1,0.9,22.11,-0.53,0,0,WHITE DEER 0,WHITE DEER ,2211
bus2059,149,2,0,0,0,0,2,1.0184,-23.912,13.8,10,1.1,0.9,22.09,-0.53,0,0,WHITE DEER 1,WHITE DEER ,2209
bus2060,150,1,3.8,1.08,0,0,2,0.9974,-61.951,161,11,1.1,0.9,151.97,19.29,0,0,ROXTON 0,ROXTON ,15197
bus2061,151,1,0,0,0,0,2,1.0212,-37.428,161,10,1.1,0.9,-16.07,0.88,0,0,VERNON 1 0,VERNON  ,100
bus2062,152,2,0,0,0,0,2,1.02,-35.131,18,10,1.1,0.9,-16.06,0,0,0,VERNON 1 1,VERNON  ,100
bus2063,153,1,65.62,18.59,0,40,2,1.0061,-68.258,161,11,1.1,0.9,2559,612.12,0,0,DENISON 2 0,DENISON  ,255900
bus2064,154,1,10.05,2.85,0,0,2,1.0031,-60.277,161,11,1.1,0.9,145.05,16.18,0,0,SUMNER 0,SUMNER ,14505
bus2065,155,1,78.36,22.2,0,94.98,2,1.02,-65.601,161,11,1.1,0.9,317.77,0,0,0,GAINESVILLE 0,GAINESVILLE ,31777
bus2066,156,1,7.11,2.02,0,0,2,1.0144,-27.629,161,10,1.1,0.9,-119.17,10.1,0,0,ASPERMONT 0,ASPERMONT ,100
bus2067,157,1,53.97,15.29,0,0,2,0.99236,-44.048,161,11,1.1,0.9,13.71,1.09,0,0,WICHITA FALLS 5 0,WICHITA FALLS  ,1371
bus2068,158,1,5.76,1.63,0,0,2,0.999,-42.016,161,11,1.1,0.9,-3.08,-0.22,0,0,WINDTHORST 0,WINDTHORST ,100
bus2069,159,1,21.92,6.21,0,110.69,2,1.02,-69.117,161,11,1.1,0.9,211.3,0,0,0,HOWE 0,HOWE ,21130
bus2070,160,1,0,0,0,0,2,1.0011,-41.598,161,11,1.1,0.9,-9.28,-0.19,0,0,ARCHER 2 0,ARCHER  ,100
bus2071,161,2,0,0,0,0,2,1,-37.92,18,11,1.1,0.9,-9.22,0,0,0,ARCHER 2 1,ARCHER  ,100
bus2072,162,1,9.71,2.75,0,0,2,1.0149,-67.241,161,11,1.1,0.9,196.27,48.16,0,0,COLLINSVILLE 0,COLLINSVILLE ,19627
bus2073,163,1,0,0,0,0,2,1.0155,-25.109,161,10,1.1,0.9,-134.89,8.38,0,0,JAYTON 0,JAYTON ,100
bus2074,164,1,0,0,0,0,2,1.0058,-23.237,115,10,1.1,0.9,-187.96,4.73,0,0,JAYTON 1,JAYTON ,100
bus2075,165,1,0,0,0,0,2,1.0058,-23.237,115,10,1.1,0.9,-187.96,4.73,0,0,JAYTON 2,JAYTON ,100
bus2076,166,2,0,0,0,0,2,1.0208,-24.202,24,10,1.1,0.9,-134.95,8.36,0,0,JAYTON 3,JAYTON ,100
bus2077,167,1,0,0,0,0,2,1.0179,-61.198,161,11,1.1,0.9,244.47,11.61,0,0,MUENSTER 1 0,MUENSTER  ,24447
bus2078,168,2,0,0,0,0,2,1.02,-57.875,13.8,11,1.1,0.9,242.7,0,0,0,MUENSTER 1 1,MUENSTER  ,24270
bus2079,169,1,4.48,1.27,0,0,2,1.0223,-34.627,161,10,1.1,0.9,-48.53,1.36,0,0,PADUCAH 0,PADUCAH ,100
bus2080,170,1,16.93,4.8,0,0,2,0.99462,-57.499,161,11,1.1,0.9,160.85,24.69,0,0,NOCONA 0,NOCONA ,16085
bus2081,171,1,4.46,1.26,0,0,2,1.0009,-65.108,161,11,1.1,0.9,166.99,24.34,0,0,DODD CITY 0,DODD CITY ,16699
bus2082,172,1,59.03,16.73,0,0,2,1.0029,-44.827,161,11,1.1,0.9,20.42,1.53,0,0,WICHITA FALLS 2 0,WICHITA FALLS  ,2042
bus2083,173,2,0,0,0,0,2,1.0176,-43.247,20,11,1.1,0.9,20.31,1.48,0,0,WICHITA FALLS 2 1,WICHITA FALLS  ,2031
bus2084,174,2,0,0,0,0,2,1.0029,-44.827,20,11,1.1,0.9,20.42,1.53,0,0,WICHITA FALLS 2 2,WICHITA FALLS  ,2042
bus2085,175,2,0,0,0,0,2,1.0029,-44.827,20,11,1.1,0.9,20.42,1.53,0,0,WICHITA FALLS 2 3,WICHITA FALLS  ,2042
bus2086,176,1,2.19,0.62,0,0,2,0.99245,-59.474,161,11,1.1,0.9,165.92,23.98,0,0,MONTAGUE 0,MONTAGUE ,16592
bus2087,177,1,7.9,2.24,0,0,2,1.0174,-27.473,161,10,1.1,0.9,-109.69,9.05,0,0,SPUR 0,SPUR ,100
