,BR_ID,F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
51,br51,bus1027,bus1045,0.02505,0.10957,0.01669,221,0,0,0,0,1,0,0,-15,28.43,15.26,-28.89,0,0,0,0
52,br52,bus1056,bus1027,0.03121,0.0763,0.00999,250,0,0,0,0,1,0,0,88.62,-13.83,-86.21,18.69,0,0,0,0
53,br53,bus1028,bus3109,0.00428,0.01875,0.00286,250,0,0,0,0,1,0,0,46.15,-17.06,-46.05,17.2,0,0,0,0
54,br54,bus1029,bus1056,0.02054,0.11733,0.01763,221,0,0,0,0,1,0,0,-47.17,-6.42,47.64,7.25,0,0,0,0
55,br55,bus1030,bus1038,0.07404,0.42285,0.06354,98,0,0,0,0,1,0,0,-23.68,1.08,24.1,-5.23,0,0,0,0
56,br56,bus1083,bus1030,0.06537,0.37334,0.0561,98,0,0,0,0,1,0,0,16.87,-3.53,-16.69,-1.23,0,0,0,0
57,br57,bus1033,bus1032,0.00283,0.06758,0,170,0,0,1,0,1,0,0,-119.78,34.12,120.21,-23.98,0,0,0,0
58,br58,bus1032,bus1036,0.01956,0.11746,0.01594,98,0,0,0,0,1,0,0,3.98,1.13,-3.97,-2.7,0,0,0,0
59,br59,bus1038,bus1032,0.045,0.11,0.015,155,0,0,0,0,1,0,0,70.21,-11.77,-68.01,15.62,0,0,0,0
60,br60,bus1033,bus1081,0.003,0.031,0.059,548,0,0,0,0,1,0,0,102.83,-22.01,-102.51,19.17,0,0,0,0
61,br61,bus1033,bus3050,0.0139,0.136,0.262,647,0,0,0,0,1,0,0,225.46,-0.45,-218.6,40.54,0,0,0,0
62,br62,bus1035,bus1034,0.00438,0.08496,0,130,0,0,1,0,1,0,0,67.5,-6.87,-67.3,10.78,0,0,0,0
63,br63,bus1067,bus1034,0.00795,0.04771,0.00647,98,0,0,0,0,1,0,0,-50.55,-3.74,50.75,4.32,0,0,0,0
64,br64,bus1088,bus1036,0.02065,0.11793,0.01772,98,0,0,0,0,1,0,0,9.64,-0.51,-9.62,-1.15,0,0,0,0
65,br65,bus1037,bus1071,0.00669,0.04319,0.00824,300,0,0,0,0,1,0,0,-44.86,-21.31,45.03,21.63,0,0,0,0
66,br66,bus1039,bus1038,0.00201,0.08591,0,200,0,0,1,0,1,0,0,110.63,-16.65,-110.38,27.41,0,0,0,0
67,br67,bus1082,bus1038,0.01115,0.04969,0.00729,149,0,0,0,0,1,0,0,61.61,-7.41,-61.2,8.49,0,0,0,0
68,br68,bus1083,bus1038,0.01,0.05,0.007,221,0,0,0,0,1,0,0,-76.65,21.23,77.26,-18.9,0,0,0,0
69,br69,bus1040,bus1090,0.02991,0.13329,0.01955,149,0,0,0,0,1,0,0,-58.42,-5.06,59.45,7.7,0,0,0,0
70,br70,bus1042,bus1041,0.00419,0.11123,0,145,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
71,br71,bus1043,bus1041,0.003,0.12844,0,95,0,0,1,0,1,0,0,44.1,-1.16,-44.04,3.66,0,0,0,0
72,br72,bus1065,bus1041,0.00386,0.02203,0.00331,98,0,0,0,0,1,0,0,15.46,8.48,-15.45,-8.74,0,0,0,0
73,br73,bus1041,bus1067,0.00393,0.01722,0.00262,149,0,0,0,0,1,0,0,59.49,5.08,-59.35,-4.73,0,0,0,0
74,br74,bus1044,bus3019,0.03857,0.17192,0.02521,149,0,0,0,0,1,0,0,46.51,-17.36,-45.59,18.88,0,0,0,0
75,br75,bus3130,bus1044,0.02731,0.19029,0.03111,221,0,0,0,0,1,0,0,62.26,-8.9,-61.2,13.2,0,0,0,0
76,br76,bus1045,bus1064,0.00545,0.03794,0.0062,221,0,0,0,0,1,0,0,-10.64,15.15,10.66,-15.6,0,0,0,0
77,br77,bus1087,bus1046,0.03262,0.14269,0.02173,149,0,0,0,0,1,0,0,77.99,-12.78,-76.04,19.06,0,0,0,0
78,br78,bus1046,bus3009,0.05654,0.23454,0.0398,149,0,0,0,0,1,0,0,64.96,-9.77,-62.62,15.37,0,0,0,0
79,br79,bus1048,bus1047,0.00335,0.06576,0,390,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
80,br80,bus1049,bus1047,0.00276,0.11783,0,390,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81,br81,bus1050,bus1047,0.00313,0.09941,0,124,0,0,1,0,1,0,0,89.15,-4.14,-88.9,12.06,0,0,0,0
82,br82,bus1051,bus1047,0.0056,0.1283,0,117,0,0,1,0,1,0,0,89.15,-2.88,-88.7,13.09,0,0,0,0
83,br83,bus1052,bus1047,0.00368,0.0826,0,110,0,0,1,0,1,0,0,89.15,-7.04,-88.86,13.64,0,0,0,0
84,br84,bus1053,bus1047,0.0023,0.08808,0,250,0,0,1,0,1,0,0,-80.22,18.95,80.37,-13.17,0,0,0,0
85,br85,bus1047,bus1085,0.00947,0.06117,0.01167,221,0,0,0,0,1,0,0,55.53,-14.32,-55.23,15.12,0,0,0,0
86,br86,bus1053,bus1081,0.003,0.03,0.06,548,0,0,0,0,1,0,0,80.22,-18.95,-80.03,14.66,0,0,0,0
87,br87,bus1054,bus1056,0.02202,0.09633,0.01467,149,0,0,0,0,1,0,0,-12.02,-14.96,12.09,13.78,0,0,0,0
88,br88,bus1089,bus1054,0.08737,0.21357,0.02796,98,0,0,0,0,1,0,0,3.11,-13.13,-2.97,10.71,0,0,0,0
89,br89,bus1055,bus1089,0.04982,0.12179,0.01595,98,0,0,0,0,1,0,0,44.7,-0.77,-43.71,1.63,0,0,0,0
90,br90,bus1057,bus1056,0.00315,0.1312,0,160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
91,br91,bus1056,bus1061,0.02267,0.12946,0.01945,150,0,0,0,0,1,0,0,-59.48,22.55,60.37,-19.45,0,0,0,0
92,br92,bus1056,bus1065,0.02269,0.12962,0.01948,250,0,0,0,0,1,0,0,-88.87,32.63,90.84,-23.38,0,0,0,0
93,br93,bus1059,bus1058,0.02655,0.46187,0,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
94,br94,bus1060,bus1058,0.00894,0.38854,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
95,br95,bus1069,bus1058,0.0074,0.05155,0.00843,221,0,0,0,0,1,0,0,87.17,-4.73,-86.63,7.6,0,0,0,0
96,br96,bus1069,bus1058,0.0074,0.05155,0.00843,221,0,0,0,0,1,0,0,87.17,-4.73,-86.63,7.6,0,0,0,0
97,br97,bus1058,bus1087,0.01573,0.10956,0.01791,221,0,0,0,0,1,0,0,79.91,-9.51,-78.93,14.46,0,0,0,0
98,br98,bus1058,bus1087,0.01573,0.10956,0.01791,221,0,0,0,0,1,0,0,79.91,-9.51,-78.93,14.46,0,0,0,0
99,br99,bus1062,bus1061,0.0163,0.31787,0,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,br100,bus1063,bus1061,0.00567,0.10409,0,260,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
101,br101,bus1061,bus3042,0.054,0.18,0.028,221,0,0,0,0,1,0,0,15.3,-3.36,-15.17,0.96,0,0,0,0
102,br102,bus1066,bus1065,0.00508,0.12315,0,200,0,0,1,0,1,0,0,106.88,-0.83,-106.3,14.9,0,0,0,0
103,br103,bus1088,bus1068,0.02962,0.16921,0.02543,98,0,0,0,0,1,0,0,46.61,0.21,-45.96,0.96,0,0,0,0
104,br104,bus1070,bus1069,0.00297,0.07,0,220,0,0,1,0,1,0,0,120.38,25.49,-119.96,-15.7,0,0,0,0
105,br105,bus1082,bus1069,0.02137,0.0952,0.01396,149,0,0,0,0,1,0,0,50.89,-14.19,-50.32,15.27,0,0,0,0
106,br106,bus1072,bus1071,0.00529,0.08551,0,240,0,0,1,0,1,0,0,191.59,30.82,-189.64,0.75,0,0,0,0
107,br107,bus1073,bus1071,0.00499,0.14254,0,240,0,0,1,0,1,0,0,191.59,35.97,-189.73,17.13,0,0,0,0
108,br108,bus1074,bus1071,0.00575,0.12453,0,240,0,0,1,0,1,0,0,191.59,32.68,-189.46,13.43,0,0,0,0
109,br109,bus1075,bus1071,0.00373,0.09967,0,240,0,0,1,0,1,0,0,191.59,34.38,-190.21,2.64,0,0,0,0
110,br110,bus1076,bus1071,0.00141,0.04937,0,230,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
111,br111,bus1077,bus1071,0.00641,0.12047,0,230,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
112,br112,bus1078,bus1071,0.00533,0.19087,0,137,0,0,1,0,1,0,0,95.23,18.16,-94.74,-0.57,0,0,0,0
113,br113,bus1079,bus1071,0.00013,0.046,0,2000,0,0,1,0,1,0,0,-641.02,162.78,641.57,32.05,0,0,0,0
114,br114,bus1080,bus1071,0.01206,0.20208,0,136,0,0,1,0,1,0,0,95.23,14.9,-94.13,3.5,0,0,0,0
115,br115,bus1081,bus1071,0.00167,0.0665,0,350,0,0,1,0,1,0,0,74.77,50.48,-74.64,-45.28,0,0,0,0
116,br116,bus3048,bus1079,0.0013,0.015,1.02,2300,0,0,0,0,1,0,0,-366.4,1.02,368.12,-86.69,0,0,0,0
117,br117,bus3048,bus1079,0.0013,0.015,1.02,2300,0,0,0,0,1,0,0,-366.4,1.02,368.12,-86.69,0,0,0,0
118,br118,bus1081,bus3058,0.0091,0.089,0.171,548,0,0,0,0,1,0,0,107.77,-25.11,-106.73,17.32,0,0,0,0
119,br119,bus1084,bus3130,0.02049,0.09131,0.01339,221,0,0,0,0,1,0,0,54.28,10.63,-53.67,-9.32,0,0,0,0
120,br120,bus1085,bus1086,0.03392,0.14838,0.0226,149,0,0,0,0,1,0,0,24.84,-10.64,-24.61,9.36,0,0,0,0
121,br121,bus1090,bus1085,0.02018,0.13786,0.02346,221,0,0,0,0,1,0,0,-9.05,8.33,9.09,-10.51,0,0,0,0
122,br122,bus2029,bus1091,0.0389,0.17144,0.0798,187,0,0,0,0,1,0,0,-18.4,-2.53,18.53,-5.25,0,0,0,0
123,br123,bus1091,bus2048,0.02193,0.09667,0.045,187,0,0,0,0,1,0,0,12.76,-3.98,-12.73,-0.59,0,0,0,0
124,br124,bus2098,bus1091,0.00554,0.02443,0.01137,187,0,0,0,0,1,0,0,43.01,-6.7,-42.91,5.94,0,0,0,0
125,br125,bus2022,bus2001,0.00839,0.03697,0.01721,187,0,0,0,0,1,0,0,66.11,7.44,-65.74,-7.57,0,0,0,0
126,br126,bus2027,bus2001,0.00955,0.04062,0.02032,187,0,0,0,0,1,0,0,-17.35,4.23,17.38,-6.13,0,0,0,0
127,br127,bus2003,bus2002,0.0003,0.01986,0,981,0,0,1,0,1,0,0,-202.83,-1.69,202.95,9.71,0,0,0,0
128,br128,bus2004,bus2002,0.00022,0.01466,0,635,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
129,br129,bus2005,bus2002,0.00033,0.01714,0,645,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
130,br130,bus2006,bus2002,0.00036,0.02679,0,636,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
131,br131,bus2021,bus2002,0.00097,0.01175,0.78032,2295,0,0,0,0,1,0,0,739.33,-45.45,-734.17,27.95,0,0,0,0
132,br132,bus2002,bus2101,0.00031,0.0037,0.24573,2020,0,0,0,0,1,0,0,531.22,-37.65,-530.36,22.78,0,0,0,0
133,br133,bus2038,bus2003,0.00353,0.02067,0.01032,251,0,0,0,0,1,0,0,-41.8,-7.86,41.86,7.18,0,0,0,0
134,br134,bus2003,bus2047,0.0013,0.0099,0.0052,310,0,0,0,0,1,0,0,160.97,-5.49,-160.63,7.48,0,0,0,0
135,br135,bus2007,bus2114,0.00888,0.05207,0.026,251,0,0,0,0,1,0,0,-76.27,-3.89,76.78,4.27,0,0,0,0
136,br136,bus2007,bus2122,0.00861,0.03661,0.01831,187,0,0,0,0,1,0,0,66.73,1.19,-66.35,-1.39,0,0,0,0
137,br137,bus2014,bus2008,0.02253,0.09931,0.04623,187,0,0,0,0,1,0,0,-10.27,-1.67,10.3,-2.99,0,0,0,0
138,br138,bus2008,bus2052,0.01877,0.08271,0.0385,187,0,0,0,0,1,0,0,-18.36,0.71,18.42,-4.41,0,0,0,0
139,br139,bus2009,bus2049,0.01224,0.07176,0.03583,251,0,0,0,0,1,0,0,-103.45,22.98,104.78,-18.89,0,0,0,0
140,br140,bus2009,bus2082,0.00735,0.03126,0.01563,187,0,0,0,0,1,0,0,-8.57,57.17,8.81,-57.74,0,0,0,0
141,br141,bus2109,bus2009,0.00725,0.03084,0.01542,250,0,0,0,0,1,0,0,-72.46,-26.78,72.88,27,0,0,0,0
142,br142,bus2061,bus2010,0.02439,0.10748,0.05003,187,0,0,0,0,1,0,0,-16.18,2.33,16.24,-7.25,0,0,0,0
143,br143,bus2010,bus2079,0.02061,0.09083,0.04228,187,0,0,0,0,1,0,0,-34.32,3.56,34.56,-6.91,0,0,0,0
144,br144,bus2010,bus2091,0.02461,0.10467,0.05235,187,0,0,0,0,1,0,0,-38.73,10.89,39.13,-14.63,0,0,0,0
145,br145,bus2012,bus2011,0.00044,0.03546,0,461,0,0,1,0,1,0,0,116.76,-33.27,-116.7,38.22,0,0,0,0
146,br146,bus2013,bus2011,0.00043,0.02897,0,412,0,0,1,0,1,0,0,150.45,-28.89,-150.35,35.29,0,0,0,0
147,br147,bus2127,bus2011,0.00108,0.01307,0.86827,2020,0,0,0,0,1,0,0,-266.34,-11.57,267.06,-73.51,0,0,0,0
148,br148,bus2012,bus2041,0.01245,0.05297,0.02649,187,0,0,0,0,1,0,0,-72.04,15.19,72.68,-15.24,0,0,0,0
149,br149,bus2012,bus2052,0.02008,0.08851,0.0412,187,0,0,0,0,1,0,0,43.62,-0.08,-43.26,-2.63,0,0,0,0
150,br150,bus2093,bus2012,0.01029,0.04536,0.02111,187,0,0,0,0,1,0,0,-28.91,6.04,29,-7.89,0,0,0,0
151,br151,bus2012,bus2123,0.00995,0.0423,0.02115,251,0,0,0,0,1,0,0,-117.35,26.04,118.72,-22.46,0,0,0,0
152,br152,bus2014,bus2029,0.01859,0.07908,0.03955,187,0,0,0,0,1,0,0,-15.15,-5.53,15.2,1.62,0,0,0,0
153,br153,bus2015,bus2037,0.00862,0.03799,0.01769,187,0,0,0,0,1,0,0,8.85,-30.93,-8.76,29.48,0,0,0,0
154,br154,bus5014,bus2015,0.00961,0.04237,0.01972,187,0,0,0,0,1,0,0,13.64,-31.1,-13.53,29.6,0,0,0,0
155,br155,bus2043,bus2016,0.00593,0.02614,0.01217,187,0,0,0,0,1,0,0,22.65,-9.42,-22.62,8.34,0,0,0,0
156,br156,bus2069,bus2016,0.0084,0.03705,0.01725,187,0,0,0,0,1,0,0,46.89,27.26,-46.65,-27.96,0,0,0,0
157,br157,bus2018,bus2017,0.00048,0.05045,0,271,0,0,1,0,1,0,0,28.82,-3.94,-28.81,4.35,0,0,0,0
158,br158,bus2019,bus2017,0.0002,0.01182,0,454,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
159,br159,bus2017,bus2096,0.00253,0.03068,2.0384,2020,0,0,0,0,1,0,0,-257.62,-48.32,259.29,-145.22,0,0,0,0
160,br160,bus2017,bus2127,0.00089,0.01081,0.71846,2020,0,0,0,0,1,0,0,286.43,-167.54,-285.6,100.8,0,0,0,0
161,br161,bus2018,bus2093,0.01163,0.05125,0.02386,187,0,0,0,0,1,0,0,-28.82,3.94,28.91,-6.04,0,0,0,0
162,br162,bus2045,bus2020,0.00097,0.00548,0.00295,310,0,0,0,0,1,0,0,-166.72,17,167,-15.74,0,0,0,0
163,br163,bus2055,bus2020,0.00102,0.00744,0.00422,409,0,0,0,0,1,0,0,215.45,0.91,-214.97,2.15,0,0,0,0
164,br164,bus2022,bus2021,0.00034,0.01888,0,867,0,0,1,0,1,0,0,-183.41,-14.27,183.53,20.53,0,0,0,0
165,br165,bus2023,bus2021,0.00054,0.03406,0,319,0,0,1,0,1,0,0,83.1,18.16,-83.06,-15.79,0,0,0,0
166,br166,bus2024,bus2021,0.00036,0.02425,0,391,0,0,1,0,1,0,0,166.2,26.53,-166.11,-19.92,0,0,0,0
167,br167,bus2113,bus2021,0.0001,0.00124,0.08207,2020,0,0,0,0,1,0,0,674.13,-63.54,-673.69,60.63,0,0,0,0
168,br168,bus2022,bus2040,0.02207,0.09391,0.04697,187,0,0,0,0,1,0,0,12.65,-2.53,-12.61,-2.1,0,0,0,0
169,br169,bus2064,bus2022,0.00558,0.03156,0.01697,251,0,0,0,0,1,0,0,-92.62,-5.11,93.09,6.09,0,0,0,0
170,br170,bus2025,bus2055,0.0023,0.01016,0.00473,187,0,0,0,0,1,0,0,-33.34,-24.52,33.38,24.23,0,0,0,0
171,br171,bus2067,bus2025,0.00317,0.014,0.00651,187,0,0,0,0,1,0,0,6.29,-13.91,-6.28,13.3,0,0,0,0
172,br172,bus2058,bus2026,0.02475,0.10526,0.05264,187,0,0,0,0,1,0,0,64.27,-13.83,-63.28,12.51,0,0,0,0
173,br173,bus2128,bus2026,0.01207,0.05318,0.02475,187,0,0,0,0,1,0,0,-44.45,16.3,44.71,-17.77,0,0,0,0
174,br174,bus2027,bus2090,0.01692,0.07455,0.0347,187,0,0,0,0,1,0,0,13.8,-5.23,-13.76,1.9,0,0,0,0
175,br175,bus2028,bus2045,0.00363,0.02129,0.01063,251,0,0,0,0,1,0,0,-143.33,26.94,144.12,-23.41,0,0,0,0
176,br176,bus2028,bus2109,0.01026,0.0452,0.02104,250,0,0,0,0,1,0,0,-38.46,-18.49,38.65,17.2,0,0,0,0
177,br177,bus2112,bus2028,0.00369,0.02161,0.01079,310,0,0,0,0,1,0,0,-166.51,17.58,167.56,-12.48,0,0,0,0
178,br178,bus2030,bus2106,0.0118,0.05199,0.0242,187,0,0,0,0,1,0,0,67.32,-16.59,-66.74,16.76,0,0,0,0
179,br179,bus2122,bus2030,0.00737,0.0432,0.02157,251,0,0,0,0,1,0,0,115.45,0.45,-114.46,3.23,0,0,0,0
180,br180,bus2031,bus2048,0.02398,0.10567,0.04919,187,0,0,0,0,1,0,0,33.46,-12.64,-33.18,8.74,0,0,0,0
181,br181,bus2031,bus2087,0.02177,0.09259,0.04631,187,0,0,0,0,1,0,0,-39.23,11.01,39.58,-14.29,0,0,0,0
182,br182,bus2032,bus2114,0.01097,0.04834,0.0225,187,0,0,0,0,1,0,0,-59.63,-0.97,60.01,0.38,0,0,0,0
183,br183,bus2122,bus2032,0.01414,0.06232,0.02901,187,0,0,0,0,1,0,0,-55.83,-0.96,56.27,0.02,0,0,0,0
184,br184,bus2129,bus2033,0.00522,0.02298,0.0107,187,0,0,0,0,1,0,0,-38.67,14.22,38.76,-14.87,0,0,0,0
185,br185,bus2033,bus5288,0.00925,0.03935,0.01968,187,0,0,0,0,1,0,0,-52.33,11.02,52.6,-11.8,0,0,0,0
186,br186,bus2034,bus2043,0.00439,0.01867,0.00934,187,0,0,0,0,1,0,0,26.92,-9.01,-26.89,8.22,0,0,0,0
187,br187,bus2046,bus2034,0.00468,0.01993,0.00997,187,0,0,0,0,1,0,0,32.32,-8.29,-32.26,7.5,0,0,0,0
188,br188,bus2035,bus2066,0.01411,0.08272,0.04131,251,0,0,0,0,1,0,0,-61.45,10.93,61.99,-12.02,0,0,0,0
189,br189,bus2035,bus2091,0.01863,0.10528,0.05663,251,0,0,0,0,1,0,0,56.77,-12.26,-56.17,9.8,0,0,0,0
190,br190,bus2036,bus2055,0.00216,0.0092,0.0046,300,0,0,0,0,1,0,0,-89.62,38.73,89.83,-38.31,0,0,0,0
191,br191,bus2036,bus2082,0.00236,0.01003,0.00502,250,0,0,0,0,1,0,0,48.03,-50.51,-47.92,50.5,0,0,0,0
192,br192,bus2037,bus2065,0.00415,0.02434,0.01216,251,0,0,0,0,1,0,0,140.78,-35.98,-139.93,39.68,0,0,0,0
193,br193,bus2110,bus2037,0.00307,0.01798,0.00898,251,0,0,0,0,1,0,0,136.06,-3.23,-135.52,5.5,0,0,0,0
194,br194,bus2081,bus2038,0.00639,0.03748,0.01871,251,0,0,0,0,1,0,0,-39.1,-8.41,39.2,7.12,0,0,0,0
