,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN,COST_0,COST_1,COST_2,COST_3,COST_4,COST_5,COST_6,COST_7,COST_8,COST_9,COST_10,COST_11,FUEL_TYPE,GEN_TYPE,MINIMUM_UP_TIME,MINIMUM_DOWN_TIME,STARTUP_RAMP,SHUTDOWN_RAMP,RESERVE_PRICE,REGULATION_PRICE,VOM,STARTUP,SHUTDOWN,RAMP_COST
ng15,bus1051,89.15,-2.88,45.5,-9.92,1,107.28,1,89.4,26.82,0,0,0,0,0,0,0,89.4,0,0,89.4,0,0,0,0,26.82,536.4,89.4,1826.99712,0,0,0,0,0,0,0,0,ng,Thermal,3,2,35.76,35.76,2,1.5,1.91,5,2,2.029879081
ng16,bus1052,89.15,-7.04,45.5,-9.92,1,107.28,1,89.4,26.82,0,0,0,0,0,0,0,89.4,0,0,89.4,0,0,0,0,26.82,536.4,89.4,1826.99712,0,0,0,0,0,0,0,0,ng,Thermal,3,2,35.76,35.76,2,1.5,1.91,5,2,2.029879081
ng17,bus1053,0,0,91.01,-19.85,1,214.56,1,178.8,53.64,0,0,0,0,0,0,0,178.8,0,0,178.8,0,0,0,0,53.64,1072.8,178.8,3109.8156,0,0,0,0,0,0,0,0,ng,Thermal,3,2,71.52,71.52,2,1.5,1.91,5,2,1.614628725
wind18,bus1057,0,0,25.56,-17.28,1,144,1,120,36,0,0,0,0,0,0,0,120,0,0,120,0,0,0,0,36,0,120,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,48,48,2,1.5,1.91,5,2,0
ng19,bus1059,0,0,2.85,-0.62,1.04,6.72,1,5.6,1.68,0,0,0,0,0,0,0,5.6,0,0,5.6,0,0,0,0,1.68,33.6,5.6,675.22032,0,0,0,0,0,0,0,0,ng,Thermal,3,2,2.24,2.24,2,1.5,1.91,5,2,13.04106341
ng20,bus1060,0,0,1.02,-0.22,1.04,2.4,1,2,0.6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0.6,12,2,626.8392,0,0,0,0,0,0,0,0,ng,Thermal,3,2,0.8,0.8,2,1.5,1.91,5,2,25.6183
solar21,bus1062,0,0,0,0,1.01,1.8,1,1.5,0.45,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,0,0,0.45,0,1.5,0,0,0,0,0,0,0,0,0,solar,Renewable,3,2,0.6,0.6,2,1.5,1.91,5,2,0
solar22,bus1063,0,0,0,0,1.01,276,1,230,69,0,0,0,0,0,0,0,230,0,0,230,0,0,0,0,69,0,230,0,0,0,0,0,0,0,0,0,solar,Renewable,3,2,92,92,2,1.5,1.91,5,2,0
wind23,bus1066,106.88,-0.83,30.35,-20.52,1,171,1,106.88,106.88,0,0,0,0,0,0,0,106.88,0,0,142.5,0,0,0,0,106.88,0,106.88,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,106.88,106.88,2,1.5,1.91,5,2,0
wind24,bus1070,120.38,25.49,34.19,-23.11,1.04,192.6,1,120.38,120.38,0,0,0,0,0,0,0,120.38,0,0,160.5,0,0,0,0,120.38,0,120.38,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,120.38,120.38,2,1.5,1.91,5,2,0
ng25,bus1072,191.59,30.82,97.8,-21.33,1.01,230.56,1,192.13,57.64,0,0,0,0,0,0,0,192.13,0,0,192.13,0,0,0,0,57.64,1152.8,192.13,3305.92673,0,0,0,0,0,0,0,0,ng,Thermal,3,2,76.852,76.852,2,1.5,1.91,5,2,1.589140697
ng26,bus1073,191.59,35.97,97.8,-21.33,1.01,230.56,1,192.13,57.64,0,0,0,0,0,0,0,192.13,0,0,192.13,0,0,0,0,57.64,1152.8,192.13,3305.92673,0,0,0,0,0,0,0,0,ng,Thermal,3,2,76.852,76.852,2,1.5,1.91,5,2,1.589140697
ng27,bus1074,191.59,32.68,97.8,-21.33,1.01,230.56,1,192.13,57.64,0,0,0,0,0,0,0,192.13,0,0,192.13,0,0,0,0,57.64,1152.8,192.13,3305.92673,0,0,0,0,0,0,0,0,ng,Thermal,3,2,76.852,76.852,2,1.5,1.91,5,2,1.589140697
ng28,bus1075,191.59,34.38,97.8,-21.33,1.01,230.56,1,192.13,57.64,0,0,0,0,0,0,0,192.13,0,0,192.13,0,0,0,0,57.64,1152.8,192.13,3305.92673,0,0,0,0,0,0,0,0,ng,Thermal,3,2,76.852,76.852,2,1.5,1.91,5,2,1.589140697
ng29,bus1076,0,0,97.8,-21.33,1.01,230.56,1,192.13,57.64,0,0,0,0,0,0,0,192.13,0,0,192.13,0,0,0,0,57.64,1152.8,192.13,3305.92673,0,0,0,0,0,0,0,0,ng,Thermal,3,2,76.852,76.852,2,1.5,1.91,5,2,1.589140697
ng30,bus1077,0,0,97.8,-21.33,1.01,230.56,1,192.13,57.64,0,0,0,0,0,0,0,192.13,0,0,192.13,0,0,0,0,57.64,1152.8,192.13,3305.92673,0,0,0,0,0,0,0,0,ng,Thermal,3,2,76.852,76.852,2,1.5,1.91,5,2,1.589140697
ng31,bus1078,95.23,18.16,48.61,-10.6,1.01,114.6,1,95.5,28.65,0,0,0,0,0,0,0,95.5,0,0,95.5,0,0,0,0,28.65,573,95.5,1912.79075,0,0,0,0,0,0,0,0,ng,Thermal,3,2,38.2,38.2,2,1.5,1.91,5,2,1.97463633
ng32,bus1079,95.23,-10.6,48.61,-10.6,1.01,114.6,1,95.5,28.65,0,0,0,0,0,0,0,95.5,0,0,95.5,0,0,0,0,28.65,573,95.5,1912.79075,0,0,0,0,0,0,0,0,ng,Thermal,3,2,38.2,38.2,2,1.5,1.91,5,2,1.97463633
ng33,bus1080,95.23,14.9,48.61,-10.6,1.01,114.6,1,95.5,28.65,0,0,0,0,0,0,0,95.5,0,0,95.5,0,0,0,0,28.65,573,95.5,1912.79075,0,0,0,0,0,0,0,0,ng,Thermal,3,2,38.2,38.2,2,1.5,1.91,5,2,1.97463633
ng34,bus1081,0,0,145.83,-31.8,1.01,343.8,1,286.5,85.95,0,0,0,0,0,0,0,286.5,0,0,286.5,0,0,0,0,85.95,1719,286.5,4729.5464,0,0,0,0,0,0,0,0,ng,Thermal,3,2,114.6,114.6,2,1.5,1.91,5,2,1.493697048
wind35,bus1082,112.5,-21.6,31.95,-21.6,1,180,1,112.5,112.5,0,0,0,0,0,0,0,112.5,0,0,150,0,0,0,0,112.5,0,112.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,112.5,112.5,2,1.5,1.91,5,2,0
wind36,bus1084,86.62,24.6,24.6,-16.63,1.04,138.6,1,86.62,86.62,0,0,0,0,0,0,0,86.62,0,0,115.5,0,0,0,0,86.62,0,86.62,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,86.62,86.62,2,1.5,1.91,5,2,0
wind37,bus1088,56.25,-0.29,15.97,-10.8,1,90,1,56.25,56.25,0,0,0,0,0,0,0,56.25,0,0,75,0,0,0,0,56.25,0,56.25,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,56.25,56.25,2,1.5,1.91,5,2,0
wind38,bus1090,114.37,31.03,32.48,-21.96,1.02,183,1,114.37,114.37,0,0,0,0,0,0,0,114.37,0,0,152.5,0,0,0,0,114.37,0,114.37,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,114.37,114.37,2,1.5,1.91,5,2,0
wind39,bus1090,27,7.67,7.67,-5.18,1.02,43.2,1,27,27,0,0,0,0,0,0,0,27,0,0,36,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,27,27,2,1.5,1.91,5,2,0
ng40,bus2004,0,0,199.43,-43.49,1.02,470.16,1,391.8,117.54,0,0,0,0,0,0,0,391.8,0,0,391.8,0,0,0,0,117.54,2350.8,391.8,8728.20444,0,0,0,0,0,0,0,0,ng,Thermal,3,2,156.72,156.72,2,1.5,1.91,5,2,2.316865669
ng41,bus2005,0,0,199.43,-43.49,1.02,470.16,1,391.8,117.54,0,0,0,0,0,0,0,391.8,0,0,391.8,0,0,0,0,117.54,2350.8,391.8,8728.20444,0,0,0,0,0,0,0,0,ng,Thermal,3,2,156.72,156.72,2,1.5,1.91,5,2,2.316865669
ng42,bus2006,0,0,199.43,-43.49,1.02,470.16,1,391.8,117.54,0,0,0,0,0,0,0,391.8,0,0,391.8,0,0,0,0,117.54,2350.8,391.8,8728.20444,0,0,0,0,0,0,0,0,ng,Thermal,3,2,156.72,156.72,2,1.5,1.91,5,2,2.316865669
wind43,bus2013,150.45,-28.89,42.73,-28.89,1,240.72,1,150.45,150.45,0,0,0,0,0,0,0,150.45,0,0,200.6,0,0,0,0,150.45,0,150.45,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,150.45,150.45,2,1.5,1.91,5,2,0
wind44,bus2019,0,0,46.43,-31.39,1.04,261.6,1,218,65.4,0,0,0,0,0,0,0,218,0,0,218,0,0,0,0,65.4,0,218,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,87.2,87.2,2,1.5,1.91,5,2,0
ng45,bus2023,83.1,18.16,42.42,-9.25,1.02,100,1,83.33,25,0,0,0,0,0,0,0,83.33,0,0,83.33,0,0,0,0,25,500,83.33,1715.95837,0,0,0,0,0,0,0,0,ng,Thermal,3,2,33.332,33.332,2,1.5,1.91,5,2,2.049483179
ng46,bus2024,166.2,26.53,84.83,-18.5,1.02,200,1,166.67,50,0,0,0,0,0,0,0,166.67,0,0,166.67,0,0,0,0,50,1000,166.67,2879.36798,0,0,0,0,0,0,0,0,ng,Thermal,3,2,66.668,66.668,2,1.5,1.91,5,2,1.597151338
wind47,bus2042,59.7,-11.46,16.95,-11.46,1.01,95.52,1,59.7,59.7,0,0,0,0,0,0,0,59.7,0,0,79.6,0,0,0,0,59.7,0,59.7,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,59.7,59.7,2,1.5,1.91,5,2,0
coal48,bus2056,0,0,2.8,-0.73,0.99,7.2,1,6,1.8,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,1.8,36,6,308.6856,0,0,0,0,0,0,0,0,coal,Thermal,3,2,2.4,2.4,2,1.5,1.91,5,2,5.243953846
coal49,bus2057,573.57,-47.07,335.52,-87.84,0.99,864,1,720,216,0,0,0,0,0,0,0,720,0,0,720,0,0,0,0,216,4320,720,10101.572,0,0,0,0,0,0,0,0,coal,Thermal,3,2,288,288,2,1.5,1.91,5,2,1.144865743
wind50,bus2059,60,-11.52,17.04,-11.52,1,96,1,60,60,0,0,0,0,0,0,0,60,0,0,80,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,60,60,2,1.5,1.91,5,2,0
wind51,bus2062,101.55,-4.84,28.84,-19.5,1.02,162.48,1,101.55,101.55,0,0,0,0,0,0,0,101.55,0,0,135.4,0,0,0,0,101.55,0,101.55,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,101.55,101.55,2,1.5,1.91,5,2,0
wind52,bus2071,112.5,-0.82,31.95,-21.6,1,180,1,112.5,112.5,0,0,0,0,0,0,0,112.5,0,0,150,0,0,0,0,112.5,0,112.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,112.5,112.5,2,1.5,1.91,5,2,0
wind53,bus2076,22.5,6.39,6.39,-4.32,1.04,36,1,22.5,22.5,0,0,0,0,0,0,0,22.5,0,0,30,0,0,0,0,22.5,0,22.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,22.5,22.5,2,1.5,1.91,5,2,0
wind54,bus2078,84.38,3.09,23.96,-16.2,1.02,135,1,84.38,84.38,0,0,0,0,0,0,0,84.38,0,0,112.5,0,0,0,0,84.38,0,84.38,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,84.38,84.38,2,1.5,1.91,5,2,0
ng55,bus2083,19.94,10.18,10.18,-2.22,1.02,24,1,20,6,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,6,120,20,854.462,0,0,0,0,0,0,0,0,ng,Thermal,3,2,8,8,2,1.5,1.91,5,2,4.896413333
ng56,bus2084,0,0,10.18,-2.22,1.02,24,1,20,6,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,6,120,20,854.462,0,0,0,0,0,0,0,0,ng,Thermal,3,2,8,8,2,1.5,1.91,5,2,4.896413333
ng57,bus2085,0,0,20.36,-4.44,1.02,48,1,40,12,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,12,240,40,1111.528,0,0,0,0,0,0,0,0,ng,Thermal,3,2,16,16,2,1.5,1.91,5,2,3.005268966
wind58,bus2089,50.7,0.48,14.4,-9.73,1,81.12,1,50.7,50.7,0,0,0,0,0,0,0,50.7,0,0,67.6,0,0,0,0,50.7,0,50.7,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,50.7,50.7,2,1.5,1.91,5,2,0
wind59,bus2094,0,0,2.13,-1.44,1,12,1,10,3,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,4,4,2,1.5,1.91,5,2,0
wind60,bus2095,0,0,16.93,-11.45,1,95.4,1,79.5,23.85,0,0,0,0,0,0,0,79.5,0,0,79.5,0,0,0,0,23.85,0,79.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,31.8,31.8,2,1.5,1.91,5,2,0
wind61,bus2099,7.5,-0.05,2.13,-1.44,1.02,12,1,7.5,7.5,0,0,0,0,0,0,0,7.5,0,0,10,0,0,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,7.5,7.5,2,1.5,1.91,5,2,0
wind62,bus2100,112.5,0.58,31.95,-21.6,1.02,180,1,112.5,112.5,0,0,0,0,0,0,0,112.5,0,0,150,0,0,0,0,112.5,0,112.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,112.5,112.5,2,1.5,1.91,5,2,0
ng63,bus2103,0,0,136.28,-29.72,1,321.28,1,267.73,80.32,0,0,0,0,0,0,0,267.73,0,0,267.73,0,0,0,0,80.32,1606.4,267.73,5986.14377,0,0,0,0,0,0,0,0,ng,Thermal,3,2,107.092,107.092,2,1.5,1.91,5,2,2.324581376
ng64,bus2104,0,0,136.28,-29.72,1,321.28,1,267.73,80.32,0,0,0,0,0,0,0,267.73,0,0,267.73,0,0,0,0,80.32,1606.4,267.73,5986.14377,0,0,0,0,0,0,0,0,ng,Thermal,3,2,107.092,107.092,2,1.5,1.91,5,2,2.324581376
ng65,bus2105,0,0,136.28,-29.72,1,321.28,1,267.73,80.32,0,0,0,0,0,0,0,267.73,0,0,267.73,0,0,0,0,80.32,1606.4,267.73,5986.14377,0,0,0,0,0,0,0,0,ng,Thermal,3,2,107.092,107.092,2,1.5,1.91,5,2,2.324581376
ng66,bus2115,184.2,-20.5,94.02,-20.5,1,221.66,1,184.72,55.41,0,0,0,0,0,0,0,184.72,0,0,184.72,0,0,0,0,55.41,1108.2,184.72,3137.67742,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.888,73.888,2,1.5,1.91,5,2,1.557422623
ng67,bus2116,184.2,-20.5,94.02,-20.5,1,221.66,1,184.72,55.41,0,0,0,0,0,0,0,184.72,0,0,184.72,0,0,0,0,55.41,1108.2,184.72,3137.67742,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.888,73.888,2,1.5,1.91,5,2,1.557422623
ng68,bus2117,184.2,-20.5,94.02,-20.5,1,221.66,1,184.72,55.41,0,0,0,0,0,0,0,184.72,0,0,184.72,0,0,0,0,55.41,1108.2,184.72,3137.67742,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.888,73.888,2,1.5,1.91,5,2,1.557422623
ng69,bus2118,184.2,-20.5,94.02,-20.5,1,221.66,1,184.72,55.41,0,0,0,0,0,0,0,184.72,0,0,184.72,0,0,0,0,55.41,1108.2,184.72,3137.67742,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.888,73.888,2,1.5,1.91,5,2,1.557422623
ng70,bus2119,184.2,-20.5,94.02,-20.5,1,221.66,1,184.72,55.41,0,0,0,0,0,0,0,184.72,0,0,184.72,0,0,0,0,55.41,1108.2,184.72,3137.67742,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.888,73.888,2,1.5,1.91,5,2,1.557422623
ng71,bus2120,184.2,-2.92,94.02,-20.5,1.01,221.66,1,184.72,55.41,0,0,0,0,0,0,0,184.72,0,0,184.72,0,0,0,0,55.41,1108.2,184.72,3137.67742,0,0,0,0,0,0,0,0,ng,Thermal,3,2,73.888,73.888,2,1.5,1.91,5,2,1.557422623
wind72,bus2123,136.28,-26.16,38.7,-26.16,1,218.04,1,136.28,136.28,0,0,0,0,0,0,0,136.28,0,0,181.7,0,0,0,0,136.28,0,136.28,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,136.28,136.28,2,1.5,1.91,5,2,0
wind73,bus2127,216.45,-0.02,61.47,-41.56,1.04,346.32,1,216.45,216.45,0,0,0,0,0,0,0,216.45,0,0,288.6,0,0,0,0,216.45,0,216.45,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,216.45,216.45,2,1.5,1.91,5,2,0
wind74,bus3004,28.13,-5.4,7.99,-5.4,1,45,1,28.13,28.13,0,0,0,0,0,0,0,28.13,0,0,37.5,0,0,0,0,28.13,0,28.13,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,28.13,28.13,2,1.5,1.91,5,2,0
wind75,bus3017,127.13,3.68,36.1,-24.41,1.01,203.4,1,127.13,127.13,0,0,0,0,0,0,0,127.13,0,0,169.5,0,0,0,0,127.13,0,127.13,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,127.13,127.13,2,1.5,1.91,5,2,0
wind76,bus3020,112.5,12.59,31.95,-21.6,1.03,180,1,112.5,112.5,0,0,0,0,0,0,0,112.5,0,0,150,0,0,0,0,112.5,0,112.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,112.5,112.5,2,1.5,1.91,5,2,0
wind77,bus3028,150,42.6,42.6,-28.8,1.04,240,1,150,150,0,0,0,0,0,0,0,150,0,0,200,0,0,0,0,150,0,150,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,150,150,2,1.5,1.91,5,2,0
wind78,bus3034,97.87,18.15,27.8,-18.79,1.03,156.6,1,97.87,97.87,0,0,0,0,0,0,0,97.87,0,0,130.5,0,0,0,0,97.87,0,97.87,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,97.87,97.87,2,1.5,1.91,5,2,0
wind79,bus3039,156.75,44.52,44.52,-30.1,1.04,250.8,1,156.75,156.75,0,0,0,0,0,0,0,156.75,0,0,209,0,0,0,0,156.75,0,156.75,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,156.75,156.75,2,1.5,1.91,5,2,0
ng80,bus3043,0,0,0.66,-0.14,1.04,1.56,1,1.3,0.39,0,0,0,0,0,0,0,1.3,0,0,1.3,0,0,0,0,0.39,7.8,1.3,619.41927,0,0,0,0,0,0,0,0,ng,Thermal,3,2,0.52,0.52,2,1.5,1.91,5,2,32.02195131
ng81,bus3044,0,0,45.5,-9.92,1.04,107.28,1,89.4,26.82,0,0,0,0,0,0,0,89.4,0,0,89.4,0,0,0,0,26.82,536.4,89.4,1966.48794,0,0,0,0,0,0,0,0,ng,Thermal,3,2,35.76,35.76,2,1.5,1.91,5,2,2.249273262
ng82,bus3045,0,0,227.52,-49.62,1.04,536.4,1,447,134.1,0,0,0,0,0,0,0,447,0,0,447,0,0,0,0,134.1,2682,447,8157.0816,0,0,0,0,0,0,0,0,ng,Thermal,3,2,178.8,178.8,2,1.5,1.91,5,2,1.744212042
wind83,bus3048,180.75,51.33,51.33,-34.7,1.04,289.2,1,180.75,180.75,0,0,0,0,0,0,0,180.75,0,0,241,0,0,0,0,180.75,0,180.75,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,180.75,180.75,2,1.5,1.91,5,2,0
wind84,bus3055,183.88,50.05,52.22,-35.3,1.04,294.2,1,183.88,183.88,0,0,0,0,0,0,0,183.88,0,0,245.17,0,0,0,0,183.88,0,183.88,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,183.88,183.88,2,1.5,1.91,5,2,0
wind85,bus3056,183.88,31.71,52.22,-35.3,1.04,294.2,1,183.88,183.88,0,0,0,0,0,0,0,183.88,0,0,245.17,0,0,0,0,183.88,0,183.88,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,183.88,183.88,2,1.5,1.91,5,2,0
wind86,bus3057,183.88,30.31,52.22,-35.3,1.04,294.2,1,183.88,183.88,0,0,0,0,0,0,0,183.88,0,0,245.17,0,0,0,0,183.88,0,183.88,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,183.88,183.88,2,1.5,1.91,5,2,0
wind87,bus3060,124.22,16.04,35.28,-23.85,1.04,198.75,1,124.22,124.22,0,0,0,0,0,0,0,124.22,0,0,165.63,0,0,0,0,124.22,0,124.22,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,124.22,124.22,2,1.5,1.91,5,2,0
wind88,bus3061,124.22,17.93,35.28,-23.85,1.04,198.75,1,124.22,124.22,0,0,0,0,0,0,0,124.22,0,0,165.63,0,0,0,0,124.22,0,124.22,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,124.22,124.22,2,1.5,1.91,5,2,0
wind89,bus3062,124.22,27.34,35.28,-23.85,1.04,198.75,1,124.22,124.22,0,0,0,0,0,0,0,124.22,0,0,165.63,0,0,0,0,124.22,0,124.22,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,124.22,124.22,2,1.5,1.91,5,2,0
wind90,bus3063,124.22,20.41,35.28,-23.85,1.04,198.75,1,124.22,124.22,0,0,0,0,0,0,0,124.22,0,0,165.63,0,0,0,0,124.22,0,124.22,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,124.22,124.22,2,1.5,1.91,5,2,0
wind91,bus3065,60.37,-8.38,17.15,-11.59,1,96.6,1,60.37,60.37,0,0,0,0,0,0,0,60.37,0,0,80.5,0,0,0,0,60.37,0,60.37,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,60.37,60.37,2,1.5,1.91,5,2,0
wind92,bus3068,112.5,30.84,31.95,-21.6,1.04,180,1,112.5,112.5,0,0,0,0,0,0,0,112.5,0,0,150,0,0,0,0,112.5,0,112.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,112.5,112.5,2,1.5,1.91,5,2,0
wind93,bus3071,127.65,-24.51,36.25,-24.51,1,204.24,1,127.65,127.65,0,0,0,0,0,0,0,127.65,0,0,170.2,0,0,0,0,127.65,0,127.65,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,127.65,127.65,2,1.5,1.91,5,2,0
